@relation 'Clasfication2Weka-weka.filters.unsupervised.attribute.StringToWordVector-Rfirst-last-W1000-prune-rate-1.0-N0-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-M1-tokenizerweka.core.tokenizers.WordTokenizer -delimiters \" \\r\\n\\t.,;:\\\'\\\"()?!\"-weka.filters.unsupervised.attribute.NominalToString-C2-weka.filters.unsupervised.attribute.NumericToBinary-R5-last-weka.filters.unsupervised.attribute.NumericToNominal-R53'

@attribute Id numeric
@attribute Description string
@attribute 'Initiative status' {'In progress',Pilot,Live,Research}
@attribute TherapeuticArea {Breast,Lung,Ophtha,Liver,'Alzheimers Disease',Haemophilia}
@attribute Prevention_binarized {0,1}
@attribute Unwellness_binarized {0,1}
@attribute Prediagnosis_binarized {0,1}
@attribute Treatment_binarized {0,1}
@attribute 'Maintain life_binarized' {0,1}
@attribute End_of_life_support_binarized {0,1}
@attribute Be_up_to_date_HCP_binarized {0,1}
@attribute 'Manage_and_treat_ my_patient_HCP_binarized' {0,1}
@attribute Advance_medical_science_HCP_binarized {0,1}
@attribute Manage_my_business_HCP_binarized {0,1}
@attribute Digital_Health_Solution_Dig_cat_binarized {0,1}
@attribute Information_Dig_Cat_binarized {0,1}
@attribute Service_Dig_Cat_binarized {0,1}
@attribute Arabic_binarized {0,1}
@attribute Bosnian_binarized {0,1}
@attribute Bulgarian_binarized {0,1}
@attribute Chinese_binarized {0,1}
@attribute Croatian_binarized {0,1}
@attribute Czech_binarized {0,1}
@attribute Danish_binarized {0,1}
@attribute Dutch_binarized {0,1}
@attribute English_binarized {0,1}
@attribute Estonian_binarized {0,1}
@attribute Finnish_binarized {0,1}
@attribute French_binarized {0,1}
@attribute German_binarized {0,1}
@attribute Greek_binarized {0,1}
@attribute Hebrew_binarized {0,1}
@attribute Hungarian_binarized {0,1}
@attribute Indonesian_binarized {0,1}
@attribute Italian_binarized {0,1}
@attribute Korean_binarized {0,1}
@attribute Latvian_binarized {0,1}
@attribute Lithuanian_binarized {0,1}
@attribute Macedonian_binarized {0,1}
@attribute 'Multiple Languages_binarized' {0,1}
@attribute Norwegian_binarized {0,1}
@attribute Polish_binarized {0,1}
@attribute Portuguese_binarized {0,1}
@attribute Romanian_binarized {0,1}
@attribute Russian_binarized {0,1}
@attribute Serbian_binarized {0,1}
@attribute Slovakian_binarized {0,1}
@attribute Spanish_binarized {0,1}
@attribute Swedish_binarized {0,1}
@attribute Thai_binarized {0,1}
@attribute Turkish_binarized {0,1}
@attribute Vietnamese_binarized {0,1}
@attribute GlobalRollout {0,1}

@data
218,'Track a process of creating clinical trials contracts and agreements between Roche and Vendors Researchers  Study teams and shall give insight into data of those contracts and agreements','In progress',Lung,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,'It is preconfigured patient registry solution for disease areas oncology based on mCode and‚ other disease areas on OMOP data models',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,'It is the Global MultiModal RWD platform including EHR Registries Imaging Digital and Omics includes data ingestion curation storage managed access and dashboard analytics‚ Data access is based on licensing agreements and data transfer laws',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,'Suite of cloudbased software solutions to enable pathology labs and oncology departments through workflow and clinical decision support',Live,Lung,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,'This tool is responsible for capturing all the biomarkers tests requests by institutions and HCPs for patients and for Test Centers to load result information The tool also has tracking information capabilities‚ ','In progress',Lung,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,'Revela is a digital solution that enables healthcare professionals to connect with their patients and to follow their journey Under construction','In progress',Lung,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,'CalculadoraDeDosis‚ is a mobile application that‚ allows you to calculate the correct dose of the different Roche Oncology products according to the characteristics of each of your patients','In progress',Lung,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,'Virtual Athenaeum is a mobile application for Android and IOS that will be Pilot to the external public in Uruguay through Google Store and Apple Store aiming to encourage scientific development‚ ','In progress',Lung,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,'A structured dialogue platform for overtime engagement with external participants','In progress',Lung,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,'Coral is a complementary solution platform to our existing services to provide a better treatment experience to patients','In progress',Lung,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,'Currently we use our ecamps for following up on the topic vascular stability and to introduce the Swiss Roche Ophtha team to our customers',Live,Ophtha,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,'Expand customer reach through registrations on Roche HCP medical digital platforms',Live,Ophtha,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,'Website to exploring new treatments and technologies to address the leading causes of vision loss',Live,Ophtha,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
231,'Ang2 Medical Education Campaign  medical  commercial',Live,Ophtha,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
232,'films have been designed to build excitement for SUSVIMO with healthcare professionals while also increasing their familiarity with the product and their excitement to use it',Live,Ophtha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
233,'Place Library to find some videos and medical materials  to engage with physicians',Live,Ophtha,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
234,'As we are entering a new domain with our Ophta assets questions arise around indepth knowledge of the local HCP ecosystem identification of the TAEs understanding of their behaviors and digital savviness as well as defining the target audience of multichannel campaignsFrance has addressed these questions by implementing Omnidata a data sharing platform allowing to perform fast adhoc insights generation using self service tools',Live,Ophtha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,'An online resource that is designed to provide healthcare professionals with information and support to help them and their patients',Live,Ophtha,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,'An online resource that is designed to provide healthcare professionals with information and support to help them and their patients',Live,Ophtha,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,'Designed to support engagement strategy efforts for every customer interaction in every channel digital or person to person and regardless of role',Live,Ophtha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,'Russian Ophthalmological Community owns the biggest database of Ophthalmologist in Russia more than 16000 emails We created a series of nonpromo medical emails related to Roche topics at the significant scientific ophthalmo conferences unmet needs in nAMD DME angiopoietins to recognize retina specialist in Ophtha community to increase their awareness and if possible to collect informed consents for Roche database','In progress',Ophtha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,'Materials and recordings of the medical training session that was arranged among CEETRIS affiliates to create baseline for nAMD and DME background our molecules MoAs and how they differentiate from current treatments and our promising clinical studies results At the end of the session baseline was created for our promising Ophtha portfolio what values it proposes and our regional capabilities was improved through crosscountry collaboration',Live,Ophtha,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,'*In progress*Aim To develop convenient tool to collect ICs of RSs for remote or uncovered ecosystemsHypotheses Collection of ICs by 3rd party has more conversion rate than digital engagement3rd party can collect RS database equal to Roche PJP quality To collect 468 ICs in 4 regions during 1 month',Live,Ophtha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,'we have localised so many different types of resoruces which are on our hcp website and also have been used in different events such as simposia Mainly we have all the latest congresses publicactions campaigns adaptations TWC STHP and medical site with eyes travle system videos ang2 inphographics etc','In progress',Ophtha,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,'We are working on a guidance which may be able to help every PIn progress to see which channels should be used for what contents based on customer preferences We are still in the process of building the document but it will be a first step to learn how to maximize channels and start building an omnichannel strategy','In progress',Ophtha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,'We are conducting the second training module for PIn progressS on social media use This is helping us to start interacting and improveing the way we use the tools navigate and build engagement with our customers During the first module there was a positivie feedback and it has been useful to better engage with HCPs by optimizing social media as a channel','In progress',Ophtha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,'We have established profiles which are helping us to analyze what level of engagement do our customers have with Roche and how fluent are they in terms of digital use we are collecting all the data to draw a personalized picture for each customer which will help us to bring the right content through the right channel for them','In progress',Ophtha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,'We developed together with Belgium a webpage for HCPs where we present in an unbraded way our pipeline team articles of interest etc After this we did a page for patients with similar contents but written in a more approachable and patientcentric way','In progress',Ophtha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,'Utilization of a webapp already Pilot on the market and broadly used by GPs and other type of referrers to disseminate a formal referral pathway for patients with risk of developing DME Pathway was developed in partnership with the Retina Study Group','In progress',Ophtha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,'External vendor has contacts in the Ophthalmology field since it is used to conduct market researches for us and our competition Vendor called by phone a list of contacts in our behalf to collect optins','In progress',Ophtha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,'We developedinspired by eye on angiopoietin a webpage for HCPs where we present info about role of VEGF and Ang pathway httpswwwmojemedicinaczterapeutickeoblastioftalmologieprotectedhtml','In progress',Ophtha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,'We developedinspired global pages a webpage for patients where patient can find info about AMD DME GA','In progress',Ophtha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,'The launch of this website is a major milestone for Roche France Ophta and meets a real need among retinologists healthcare professionals in ophthalmology and also the general public in a field that is witnessing the rapid advance of innovation  futurenretinologiefr The website features review articles educational infographics videos from experts and more The concise content is codeveloped with a scientific committee to ensure that the daily information resources can be digested quickly with the option to subscribe to stay up to date on the websites new content and explore the future developments in this speciality',Live,Ophtha,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,'We are about to create and include AR experience in our varous channels mainly used for printed marketing materials but also digital channels to connect the usual and commonly known printed CVAs with new innovative and digital experience with link to further content on HCP portal','In progress',Ophtha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,'Implementing Epix using iAdvise platform for customer engagement eg prior to AB Once we have marketing approval we will launch Roche pro HCP site and we are building a Avatar based interactive webpage for patients to share disease awareness and patient materials ','In progress',Ophtha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,'One stop shopping for every topic related to medical education',Live,Ophtha,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,'Building of omnichannel strategy to deliver an integrated and personalized experience in interactions with retina specialists',Live,Ophtha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,'Profiling and engagement of Retina Specialists via Roche digitalplatform by managing Clinical Case Reports of prioritized patiens Potential patiens risk groups and patients with estabilshed nAMDDMO can access to Retina module in available platform in Zdorovieru 500 ths users and be aware about symptoms managment and right roadmap into referral Retina Center','In progress',Ophtha,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,'1 eCamp announcing license2 eCamp announcing NICE fundingNote We aim to send eCamps directly ourselves to HCPs for whom we have an ePermission AND we aim to send eCamps to HCPs through a third party','In progress',Ophtha,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,'Short videos explaining the key outcomes of our TENAYALUCERNE and YOSEMITERHINE clinical trials The videos will be shown on a screen at our conference booth at RCO 2022 Glasgow May 2326 at the first instance Thereafter they can be used for other mains TBC','In progress',Ophtha,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,'Banner ads for UK websites Objective Announce UK license','In progress',Ophtha,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,'We have evolved the Vabysmo patient materials by seeking feedback from nurses and PAGs and created a Vabysmo DMO and a Vabysmo nAMD leaflet We have worked with regulatory to replace the Risk Minimisation Materials with the new versions As a result our UK patient leaflets will become available directly on the EMC website and there will also be audio versions of these materials','In progress',Ophtha,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,'Update the latest scientific information of Roche ophtha portfolio as part of the omnichannel scientific engagement with physicians','In progress',Ophtha,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,'A disease awareness campaign developed together with our Portuguese Ophthalmology Society on World Sight Day The campaign was promoted through social media channels and also the radio',Live,Ophtha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,'Update the latest scientific information from Congresses of Roche ophtha portfolio','In progress',Ophtha,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,'Onestop platform where HCPs with the Consent can find all Roche local materials from the local events videos ppt some international events and important links ','In progress',Ophtha,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,'By localising some parts of Eye on Angiopoetins website provide medical education champaign for HCPs ','In progress',Ophtha,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,'Localisation of global materials eye on angiopoietins and Medically congresses and local content webcasts of local congresses',Live,Ophtha,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,'Bannering on third party websiteLinkedIn ads campaignThird party Email campaignHCP Portal','In progress',Ophtha,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,'Innovative accessibility project of screening and monitoring tests in cocreation with the ecosystem may lead to the development of an innovative algorithm for early diagnosis based on RWD data','In progress',Ophtha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,'A Patients website for information on retinal diseases and their treatments which will enrich the patients knowledge and simplify their disease management','In progress',Ophtha,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,'Disease self management end to end platform for Retina Patients ','In progress',Ophtha,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,'peer to peer meeting between the Velodrome and Diagrid investigators and a US surgeon that has practical experience and could share his experience with our local surgeonsWe would like our investigators to have the possibility to ask questions consult and learn from the speakers experience','In progress',Ophtha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,'A local patient organization called CNIB offers a service of testing websites and other tools to see if they meet accessibility standards and usability criteria The organization has access to testers that can have varying levels of vision impairment that will test a site through guided ie achieve a task with instructions or unguided ie achieve a task without instructions interviews','In progress',Ophtha,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,'In ophthalmology clinics have resource issues and they have optimised their patient journeys to get patients quickly move through the system For that reason there is not that much time for discussion with a patient We see that there is a need for patients to find information about the disease also outside the hospital As ophthalmology patients might have defects in their vision we consider that it would be nice to provide them an opportunity to hear that information and communicate with speech With AI network we are currently looking for an option to include artificial humans and gaming approaches End result would be an interactive voice guided webpage','In progress',Ophtha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,'Building a good database of ePermissions for affiliates to open up more opportunities to be in contact with your target audience via their preferred channel and time ',Live,Ophtha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
274,'a HCP website in the open space in a magazine like format   snackable interesting content around all fields of ophthalmology > aim attracting HCPs to this site which will postlaunch pass them on to restricted content on the HCP portal login',Live,Ophtha,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,'For our first contacts with HCPs we created cards with and without QR Codes with a short video introduction about ourself',Live,Ophtha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,'Translation portuguese of ANG2 Spot hidden the predator onde est¡ o predador oculto? Campaing on Di¡logo Roche plataform for HCPs',Live,Ophtha,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,'This interactive visual aid is intended to be used by Therapeutic Area Managers TAMs to support their Ang2 Disease Education discussions with HCPs to raise awareness and understanding of the AngiopoietinTie2 pathway and its importance in retinal diseases',Live,Ophtha,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,'Ophtha Stakeholder Engagement Framework','In progress',Ophtha,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,'1upHealth is a platform for patients providers and app developers to aggregate and share medical data and wearable device metrics',Live,Liver,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,'PatientCentric Social and Professional Network for Managing and Navigating Treatments',Live,Liver,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
281,'BeraniCariTahu is a means of communication and educational forum aimed at women who have not dared to learn more about the problem of breast cancer so that they are more willing to open up to seek information In addition this initiative is expected to inspire especially for patients survivors and patient companions to have the courage to actively ask doctors and take control in the course of breast cancer that is being experienced',Live,Liver,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,'A website dedicated to help you to understand Roche cancer treatments are availability in New Zealand how they work how to access them and for those cancer treatments not funded by PHARMAC how to pay them privately as well as supporting information for more effective conversation with the HCPs',Live,Liver,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,'Trusted compassionate information for people with cancer and their families and caregivers from the American Society of Clinical Oncology ASCOCancerNet Mobile is an awardwinning free mobile application from the American Society of Clinical Oncology Available on both iOS and Android devices CancerNet Mobile provides a fullyfeatured set of tools to help manage your cancer care as well as trusted oncologistapproved information from CancerNet Features includeTrack Symptoms Note symptoms and side effects Automatically plot severity date and time in an easytoread line graph Link symptoms to questions and email logged symptoms and questions NEW Set reminders to log your symptomsRecord Questions Track questions for your doctors and record their answers Link questions to providers medications and symptomsLog Medications Take photos of medication labels and bottles Input dosage frequency and prescribing provider Set reminders and log when medications are taken Link medications to symptoms providers and questionsProviders Record health care providers full contact information Assign medications questions symptoms and appointments to specific providersAppointments Enter appointments with health care providers view upcoming appointments history and sync with device calendar NEW Export appointment details to share with othersMy Health Report Export and share tracked data€including symptoms medications and questions as well as Apple Health tracked data€with health care providers caregivers and others Information can be sorted by type or date and either emailed or printed NEW Create and save multiple Health Reports to easily share different information with different recipients Set reminders to run and share these reportsGet Information Uptodate guides on 125 types of cancer including treatment managing side effects cost of care and living with cancer as well as the latest videos podcasts and CancerNet Blog posts',Live,Liver,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,'The app lets you keep track of your diagnostic and treatment information access medically reliable information to learn more about your condition track and manage your side effects nominate your care team and gain access to a motivational community all in one place',Live,Liver,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
285,'CancerCare provides information and resources about meditation practices to help reduce stress and anxiety from cancer',Live,Liver,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,'What if you had an illness and could not speak for yourself? What if you got sick and could not make your own healthcare choices? Whatifs can happen at any time Care Forward was created to help you prepare for the unexpected that can happen at any stage of life',Live,Liver,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,'Manage your health without the headache CareZone is a worryfree way to organize health information and access vital health services',Live,Liver,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
